1,DeVonta Smith,1856,117,PHI,1,10,2021,Alabama,2020,Alabama,13,117,1856,15.9,23,142.8,WR,SR,devonta-smith-1
2,Trent Taylor,1803,136,SFO,5,177,2017,Louisiana Tech,2016,Louisiana Tech,14,136,1803,13.3,12,128.8,WR,SR,trent-taylor-2
3,Ja'Marr Chase,1780,84,CIN,1,5,2021,LSU,2019,LSU,14,84,1780,21.2,20,127.1,WR,SO,jamarr-chase-1
4,Rashard Higgins,1750,96,CLE,5,172,2016,Colorado State,2014,Colorado State,12,96,1750,18.2,17,145.8,WR,SO,rashard-higgins-1
5,Zay Jones,1746,158,BUF,2,37,2017,East Carolina,2016,East Carolina,12,158,1746,11.1,8,145.5,WR,SR,isaiah-jones-2
6,Brandin Cooks,1730,128,NOR,1,20,2014,Oregon State,2013,Oregon State,13,128,1730,13.5,16,133.1,WR,JR,brandin-cooks-1
7,Taywan Taylor,1730,98,OTI,3,72,2017,Western Kentucky,2016,Western Kentucky,14,98,1730,17.7,17,123.6,WR,SR,taywan-taylor-1
8,Amari Cooper,1727,124,RAI,1,4,2015,Alabama,2014,Alabama,14,124,1727,13.9,16,123.4,WR,JR,amari-cooper-1
9,Davante Adams,1719,131,GNB,2,53,2014,Fresno State,2013,Fresno State,13,131,1719,13.1,24,132.2,WR,SO,davante-adams-1
10,Andy Isabella,1698,102,CRD,2,62,2019,Massachusetts,2018,Massachusetts,12,102,1698,16.6,13,141.5,WR,SR,andy-isabella-1
11,Rome Odunze,1640,92,CHI,1,9,2024,Washington,2023,Washington,15,92,1640,17.8,13,109.3,WR,JR,rome-odunze-1
12,Richie James,1625,105,SFO,7,240,2018,Middle Tennessee State,2016,Middle Tennessee State,13,105,1625,15.5,12,125.0,WR,SO,richie-james-1
13,Jaxon Smith-Njigba,1606,95,SEA,1,20,2023,Ohio State,2021,Ohio State,13,95,1606,16.9,9,123.5,WR,SO,jaxon-smith-njigba-1
14,Jordan Addison,1593,100,MIN,1,23,2023,USC,2021,Pitt,14,100,1593,15.9,17,113.8,WR,SO,jordan-addison-1
15,Jameson Williams,1572,79,DET,1,12,2022,Alabama,2021,Alabama,15,79,1572,19.9,15,104.8,WR,JR,jameson-williams-1
16,Malik Nabers,1569,89,NYG,1,6,2024,LSU,2023,LSU,13,89,1569,17.6,14,120.7,WR,JR,malik-nabers-1
17,James Washington,1549,74,PIT,2,60,2018,Oklahoma State,2017,Oklahoma State,13,74,1549,20.9,13,119.2,WR,SR,james-washington-5
18,Justin Jefferson,1540,111,MIN,1,22,2020,LSU,2019,LSU,15,111,1540,13.9,18,102.7,WR,JR,justin-jefferson-1
19,Carlos Henderson,1535,82,DEN,3,82,2017,Louisiana Tech,2016,Louisiana Tech,13,82,1535,18.7,19,118.1,WR,JR,carlos-henderson-1
20,Dede Westbrook,1524,80,JAX,4,110,2017,Oklahoma,2016,Oklahoma,13,80,1524,19.1,17,117.2,WR,SR,dede-westbrook-1
21,Tyler Lockett,1515,106,SEA,3,69,2015,Kansas State,2014,Kansas State,13,106,1515,14.3,11,116.5,WR,SR,tyler-lockett-1
22,Corey Davis,1500,97,OTI,1,5,2017,Western Michigan,2016,Western Michigan,14,97,1500,15.5,19,107.1,WR,SR,corey-davis-3
23,Justin Hardy,1494,121,ATL,4,107,2015,East Carolina,2014,East Carolina,13,121,1494,12.3,10,114.9,WR,SR,justin-hardy-1
24,Tylan Wallace,1491,86,RAV,4,131,2021,Oklahoma State,2018,Oklahoma State,13,86,1491,17.3,12,114.7,WR,SO,tylan-wallace-1
25,Vince Mayle,1483,106,CLE,4,123,2015,Washington State,2014,Washington State,12,106,1483,14.0,9,123.6,WR,SR,vince-mayle-1
26,Jordan Matthews,1477,112,PHI,2,42,2014,Vanderbilt,2013,Vanderbilt,13,112,1477,13.2,7,113.6,WR,SR,jordan-matthews-1
27,Jalen Tolbert,1474,82,DAL,3,88,2022,South Alabama,2021,South Alabama,12,82,1474,18.0,8,122.8,WR,JR,jalen-tolbert-1
28,Taywan Taylor,1467,86,OTI,3,72,2017,Western Kentucky,2015,Western Kentucky,14,86,1467,17.1,17,104.8,WR,JR,taywan-taylor-1
