Rk,Player,Yds,FantPt,Season,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,1D,Succ%,FantPt,PPR,FantPt,PPR/G,Pos,-9999
353,Chandler Worthy,14,1.4,2015,22,HOU,3,0,4,3,14,4.7,0,4.7,75.0,3.5,1,25.0,1.4,4.4,0.47,1.47,WR,WortCh00
354,Cody Hollister,13,1.3,2019,26,TEN,5,0,2,2,13,6.5,0,2.6,100.0,6.5,,50.0,1.3,3.3,0.26,0.66,WR,HollCo00
355,Tavarres King,13,1.3,2014,24,TAM,2,0,3,2,13,6.5,0,6.5,66.7,4.3,1,66.7,1.3,3.3,0.65,1.65,WR,KingTa00
356,Darius Powe,13,1.3,2017,23,NYG,1,1,4,2,13,6.5,0,13.0,50.0,3.3,,50.0,1.3,3.3,1.30,3.30,WR,PoweDa02
357,Jeff Smith,12,1.2,2019,22,NYJ,1,0,2,1,12,12.0,0,12.0,50.0,6.0,1,50.0,1.2,2.2,1.20,2.20,WR,SmitJe03
358,Jalen Tolbert,12,1.2,2022,23,DAL,8,1,3,2,12,6.0,0,1.5,66.7,4.0,,33.3,1.2,3.2,0.15,0.40,WR,TolbJa00
359,Sammie Coates,11,1.1,2015,22,PIT,6,0,2,1,11,11.0,0,1.8,50.0,5.5,1,50.0,1.1,2.1,0.18,0.35,WR,CoatSa00
360,Shelton Gibson,11,1.1,2017,23,PHI,5,0,3,2,11,5.5,0,2.2,66.7,3.7,1,33.3,1.1,3.1,0.22,0.62,WR,GibsSh00
361,Jonathan Krause,11,1.1,2015,23,PHI,2,0,4,2,11,5.5,0,5.5,50.0,2.8,,,1.1,3.1,0.55,1.55,WR,KrauJo00
362,C.J. Saunders,11,1.1,2021,25,CAR,2,0,2,2,11,5.5,0,5.5,100.0,5.5,1,50.0,1.1,3.1,0.55,1.55,WR,SaunCJ00
363,John Ursua,11,1.1,2019,25,SEA,3,0,1,1,11,11.0,0,3.7,100.0,11.0,1,100.0,1.1,2.1,0.37,0.70,WR,UrsuJo00
364,Tarik Black,10,1.0,2021,23,NYJ,1,0,2,1,10,10.0,0,10.0,50.0,5.0,1,50.0,1.0,2.0,1.00,2.00,WR,BlacTa00
365,Danny Gray,10,1.9,2022,23,SFO,13,0,7,1,10,10.0,0,0.8,14.3,1.4,1,14.3,1.9,2.9,0.15,0.22,WR,GrayDa02
366,Tre McBride,8,7.6,2015,23,TEN,7,0,4,2,8,4.0,1,1.1,50.0,2.0,1,50.0,7.6,9.6,1.09,1.37,WR,McBrTr00
367,Kasen Williams,8,1.3,2015,23,SEA,2,0,1,1,8,8.0,0,4.0,100.0,8.0,1,100.0,1.3,2.3,0.65,1.15,WR,WillKa02
368,Antonio Gandy-Golden,3,2.5,2020,22,WAS,6,2,7,1,3,3.0,0,0.5,14.3,0.4,0,0.0,2.5,3.5,0.42,0.58,WR,GandAn00
369,D.J. Foster,2,2.6,2016,23,NWE,3,0,2,1,2,2.0,0,0.7,50.0,1.0,,0.0,2.6,3.6,0.87,1.20,WR,FostD.01
370,Montrell Washington,2,1.2,2022,23,DEN,15,1,9,4,2,0.5,0,0.1,44.4,0.2,,0.0,1.2,5.2,0.08,0.35,WR,WashMo00
371,Jakeem Grant,0,4.1,2016,24,MIA,16,0,1,0,0,,0,0.0,0.0,0.0,,0.0,4.1,4.1,0.26,0.26,WR,GranJa00
372,Solomon Patton,0,1.9,2014,24,TAM,7,0,0,0,0,,0,0.0,,,0,,1.9,1.9,0.27,0.27,WR,PattSo01
373,Joe Reed,0,8.9,2020,22,LAC,11,0,1,0,0,,0,0.0,0.0,0.0,0,0.0,8.9,8.9,0.81,0.81,WR,ReedJo03
