Rk,Player,Yds,FantPt,Season,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,1D,Succ%,FantPt,PPR,FantPt,PPR/G,Pos,-9999
206,Ihmir Smith-Marsette,116,23.6,2021,22,MIN,8,1,6,5,116,23.2,2,14.5,83.3,19.3,4,83.3,23.6,28.6,2.95,3.58,WR,SmitIh00
207,Curtis Samuel,115,17.9,2017,21,CAR,9,4,26,15,115,7.7,0,12.8,57.7,4.4,6,38.5,17.9,32.9,1.99,3.66,WR,SamuCu00
208,Devin Smith,115,15.5,2015,23,NYJ,10,3,28,9,115,12.8,1,11.5,32.1,4.1,5,32.1,15.5,24.5,1.55,2.45,WR,SmitDe04
209,Olamide Zaccheaus,115,23.5,2019,22,ATL,10,0,5,3,115,38.3,1,11.5,60.0,23.0,2,60.0,23.5,26.5,2.35,2.65,WR,ZaccOl01
210,Jared Abbrederis,111,11.1,2015,25,GNB,10,0,16,9,111,12.3,0,11.1,56.3,6.9,5,43.8,11.1,20.1,1.11,2.01,WR,AbbrJa00
211,Velus Jones Jr.,107,27.0,2022,25,CHI,12,2,14,7,107,15.3,1,8.9,50.0,7.6,4,28.6,27.0,34.0,2.25,2.83,WR,JoneVe00
212,Pharoh Cooper,106,8.6,2016,21,LAR,10,3,20,14,106,7.6,0,10.6,70.0,5.3,5,25.0,8.6,22.6,0.86,2.26,WR,CoopPh00
213,Quez Watkins,106,16.6,2020,22,PHI,6,0,13,7,106,15.1,1,17.7,53.8,8.2,4,30.8,16.6,23.6,2.77,3.93,WR,WatkQu00
214,N'Keal Harry,105,27.4,2019,22,NWE,7,5,24,12,105,8.8,2,15.0,50.0,4.4,7,41.7,27.4,39.4,3.91,5.63,WR,HarrNK00
215,Josh Reynolds,104,16.4,2017,22,LAR,16,1,24,11,104,9.5,1,6.5,45.8,4.3,8,33.3,16.4,27.4,1.03,1.71,WR,ReynJo00
216,Shi Smith,104,10.1,2021,23,CAR,6,0,11,6,104,17.3,0,17.3,54.5,9.5,3,45.5,10.1,16.1,1.68,2.68,WR,SmitSh03
217,Jake Kumerow,103,16.3,2018,26,GNB,5,2,11,8,103,12.9,1,20.6,72.7,9.4,4,72.7,16.3,24.3,3.26,4.86,WR,KumeJa00
218,Michael Campanaro,102,16.2,2014,23,BAL,4,0,9,7,102,14.6,1,25.5,77.8,11.3,5,66.7,16.2,23.2,4.05,5.80,WR,CampMi02
219,Kevin Norwood,102,10.2,2014,25,SEA,9,2,10,9,102,11.3,0,11.3,90.0,10.2,5,60.0,10.2,19.2,1.13,2.13,WR,NorwKe00
220,Travis Rudolph,101,10.1,2017,22,NYG,7,1,21,8,101,12.6,0,14.4,38.1,4.8,4,23.8,10.1,18.1,1.44,2.59,WR,RudoTr00
221,Braxton Miller,99,15.9,2016,24,HOU,10,6,28,15,99,6.6,1,9.9,53.6,3.5,6,25.0,15.9,30.9,1.59,3.09,WR,MillBr03
222,Josh Huff,98,14.5,2014,23,PHI,12,0,18,8,98,12.3,0,8.2,44.4,5.4,4,38.9,14.5,22.5,1.21,1.88,WR,HuffJo00
223,Roger Lewis,97,21.7,2016,23,NYG,13,1,19,7,97,13.9,2,7.5,36.8,5.1,4,31.6,21.7,28.7,1.67,2.21,WR,LewiRo03
224,Mike Williams,95,9.5,2017,23,LAC,10,1,23,11,95,8.6,0,9.5,47.8,4.1,7,39.1,9.5,20.5,0.95,2.05,WR,WillMi07
225,Justin Brown,94,7.4,2014,23,PIT,8,1,21,12,94,7.8,0,11.8,57.1,4.5,4,47.6,7.4,19.4,0.93,2.43,WR,BrowJu00
226,Chad Hansen,94,9.4,2017,22,NYJ,15,1,17,9,94,10.4,0,6.3,52.9,5.5,7,35.3,9.4,18.4,0.63,1.23,WR,HansCh00
227,Rashad Greene,93,27.3,2015,23,JAX,9,0,35,19,93,4.9,2,10.3,54.3,2.7,9,37.1,27.3,46.3,3.03,5.14,WR,GreeRa00
228,Malcolm Perry,92,15.7,2020,23,MIA,9,2,13,9,92,10.2,1,10.2,69.2,7.1,4,61.5,15.7,24.7,1.74,2.74,WR,PerrMa00
